RuleSet	Average Value,	Connectedness	Chaos
182	93.792	1.5960000000000000	0.0
183	68.909	-5.890000000000010	7.744
184	67.616	-4.704000000000000	10.118
185	68.73	0.20199999999999800	27.757
186	95.539	0.9910000000000000	0.0
187	74.189	-1.1259999999999900	6.272
188	98.003	1.145000000000000	0.0
189	51.91	-8.595000000000000	14.432
190	51.904	-9.524000000000000	13.229
191	52.0	-7.575000000000000	15.424
192	50.976	-9.433	14.298
193	50.458	-9.161000000000000	14.176
194	50.752	-8.668	15.507
195	55.174	0.026000000000003400	26.272
196	54.906	-0.3789999999999980	27.117
197	55.347	0.8260000000000010	27.194
198	45.107	-1.419000000000000	19.661
199	43.962	-1.105000000000000	20.186
200	45.434	-1.5160000000000000	20.614
201	40.762	1.2890000000000000	19.469
202	40.237	1.554000000000000	17.722
203	41.491	0.9990000000000020	18.976
204	45.536	2.4080000000000000	27.59
205	44.89	2.1500000000000000	25.306
206	46.048	1.8320000000000000	27.558
207	63.533	3.1630000000000000	30.195
208	59.014	0.9079999999999940	34.758
209	77.139	4.542000000000000	19.936
210	54.445	1.3430000000000000	35.347
211	53.99	2.0720000000000000	35.155
212	54.534	1.2340000000000000	37.517
213	95.187	1.5130000000000100	1.568
214	63.392	1.0690000000000000	39.552
215	97.645	1.4720000000000100	0.704
216	85.715	0.06099999999999280	0.0
217	75.29	-3.6510000000000100	0.576
218	91.066	1.5150000000000000	0.0
219	65.894	-8.182000000000000	0.493
220	65.837	-7.879000000000010	2.406
221	63.053	-9.217000000000000	1.171
222	92.883	0.7169999999999990	0.0
223	78.016	-2.3170000000000100	6.336
224	97.83	1.1980000000000100	0.0
225	62.861	-0.0730000000000004	28.294
226	60.973	0.07099999999999800	29.702
227	64.787	0.5939999999999940	30.438
228	54.643	4.882000000000000	35.136
229	52.25	7.641000000000000	32.147
230	55.994	4.520000000000000	36.371
231	67.699	1.7580000000000000	36.288
232	63.898	2.627999999999990	39.642
233	68.454	1.4470000000000000	37.779
234	93.971	0.8459999999999890	0.0
235	76.0	-3.621000000000000	3.494
236	97.229	1.125	0.0
237	70.976	3.223000000000000	33.286
238	60.506	8.856000000000000	34.144
239	73.069	3.0050000000000000	37.754
240	97.318	0.9380000000000020	0.0
241	74.688	1.789999999999990	21.888
242	98.406	1.0230000000000000	0.0
243	19.994	6.194000000000000	0.0
244	19.13	4.845000000000000	0.0
245	20.435	8.589000000000000	0.0
246	18.118	-1.2200000000000000	0.0
247	18.022	-1.7050000000000000	0.0
248	18.15	-1.569000000000000	0.0
249	25.472	16.302	0.0
250	21.126	11.497000000000000	0.045
251	26.106	17.587000000000000	0.019
252	19.059	-6.2440000000000000	0.0
253	18.65	-6.665000000000000	0.0
254	18.707	-6.955	0.0
255	19.667	-7.444000000000000	0.0
256	19.757	-6.658000000000000	0.0
257	19.552	-7.539	0.0
258	18.758	-5.866	0.0
259	18.65	-5.781000000000000	0.0
260	18.669	-5.968	0.0
261	31.84	22.110000000000000	0.0
262	25.741	19.081000000000000	0.032
263	36.397	23.945	0.0
264	17.907	4.6180000000000000	0.0
265	18.426	6.023000000000000	0.0
266	16.915	4.155000000000000	0.0
267	37.536	25.019	0.0
268	24.269	19.557000000000000	0.16
